MonthlyIncome,MonthlyExpenses,LoanEMI,Savings,Investments,FinancialHealthScore,RiskCategory
59934.283060224654,39091.712819181776,9724.421102924945,12364.863380347651,9579.899677852787,85.18012613195575,Good
47234.713976576306,30348.23471438152,13273.719720258776,11574.006924625734,4828.948265386801,70.51074375113973,Good
62953.77076201385,28928.644104170995,11592.625404153461,14308.6464862809,7302.940559369425,89.27074261097391,Good
80460.5971281605,55271.41216227188,16675.09999528328,8046.059712816051,8808.589436940041,69.49324787524438,Moderate
45316.93250553328,18126.773002213315,11664.181837195058,8388.27187245389,6835.752057532299,84.71961641242109,Good
45317.26086101639,22743.48025535949,8849.687365049063,11430.026661050264,6216.070241729345,85.98634522215268,Good
81584.25631014783,32633.702524059132,8158.425631014783,19045.2919671298,16316.851262029566,93.40584151521824,Good
65348.694583058175,52278.95566644654,18509.82171837295,8982.20201134221,6335.646781053588,58.15411447529611,Moderate
40610.51228130096,22955.805833641407,12183.153684390287,9473.306708216336,8122.102456260192,88.29652540772301,Good
60851.200871719295,48680.96069737544,6085.12008717193,16624.008945298174,3042.560043585965,80.36778029812514,Good
40731.64614375075,29344.80852797186,4746.731771638722,4965.027878877436,6084.142280310053,75.09264064538418,Good
40685.404928594864,27145.901545851866,12205.62147857846,4068.5404928594867,2034.2702464297433,73.48340385353927,Good
54839.24543132068,28081.304597995466,11985.817620908427,16451.773629396204,3211.7463350297126,81.72900413689239,Good
11734.395106844044,5198.894353283943,2350.2127848637556,2642.9001791904857,721.9049931490747,79.96100653206352,Good
15501.643349739345,10517.02383293395,2571.557189441535,2533.226682890163,881.2942672603491,74.76560542827492,Good
38754.249415180544,22836.82888630162,4555.3212747012485,6226.86136285558,3236.5810446511277,74.3839888257981,Good
29743.377593311525,11897.35103732461,5486.064530988694,6297.959229437884,5948.675518662305,93.864152749009,Good
56284.94665190548,22513.978660762194,15644.615881608748,15944.48258636969,3788.916505253376,82.66651667056011,Good
31839.51848957578,14525.011327231608,6327.969403707945,3183.9518489575785,1591.9759244787892,72.28969508121101,Good
21753.925973294172,17403.140778635337,5412.871180834584,3653.0157327547754,3254.871034610748,51.92567983551495,Moderate
79312.97537843109,63450.380302744874,23793.892613529326,23793.892613529326,10670.545250561461,71.40083426174539,Good
45484.47399026929,28689.257925020513,6984.675222019961,12097.483553884449,9096.894798053858,85.74581069188139,Good
51350.564093758476,31957.582946958868,11514.336578643859,13307.222297900307,6036.386567448085,86.36903851986524,Good
21505.036275730865,11818.134495969347,6028.968852188753,5002.409516481536,1075.2518137865434,69.41079649078786,Moderate
39112.34550949634,17984.920233201312,4903.4251627624635,8793.96117885677,3690.433106449909,92.46767053991388,Good
52218.451794197324,41774.76143535786,11187.501800373444,8487.900031626737,4864.7748332231795,66.80811668850058,Moderate
26980.128451553945,21584.102761243157,8094.038535466183,4191.165422498267,1349.0064225776973,64.85206408415587,Moderate
57513.96036691344,26800.765736047357,9937.260321655243,15211.90164454027,4960.21321350955,86.7280403496022,Good
37987.2262016239,22320.315688065675,10844.126968394517,5957.589673165326,4217.594600445171,75.91673182795991,Good
44166.12500413446,23519.34731163375,8334.547483903696,9836.087823850741,5138.745972951957,73.04462796854256,Good
37965.867755412066,20386.309481950175,11389.76032662362,8054.035118878396,1898.2933877706034,80.9648046649766,Good
87045.56369017877,67711.54610091659,8704.556369017877,26113.66910705363,13628.001466190011,83.75400527505752,Good
49730.05550524132,20051.445232374877,10204.433099796302,9307.78632496012,9946.011101048265,94.11424747068607,Good
28845.781420881995,19325.821264161455,2884.5781420881995,8465.575268459685,3947.0706450437915,85.54788087504684,Good
66450.89824206378,47129.350399924544,9564.268128500491,17050.264416617953,12385.256069054523,79.56606607767597,Good
25583.127000579556,14804.375471217218,3670.014620067724,4876.670225829163,3348.2879575286374,74.85417944422751,Good
54177.27190009511,39763.95991324049,9678.417225056133,5443.787169637043,3099.571503064178,72.25574325485984,Good
10806.597522404489,6723.300615562264,1134.0085951753997,2115.5310360132626,1472.4511895798423,82.1192255520621,Good
23436.27902203139,18340.51687896049,4552.751141375734,6373.2362687280265,2105.67157837034,73.71070895714088,Good
53937.22471738247,21574.88988695299,12774.347769638807,5502.38405846681,2882.0326519763994,83.7615883250338,Good
64769.33159990821,35473.107879845156,6476.933159990822,17284.133986072353,7468.891841231424,86.33225195373306,Good
53427.36562379941,31480.90131832519,7971.651501461165,16028.20968713982,9041.092377936193,83.81128961573076,Good
47687.03435223519,19074.81374089408,14306.110305670556,9903.670265722732,4747.952435570665,78.31750559330017,Good
43977.926088214226,19223.063295036885,9953.91854232584,12010.184097822688,8795.585217642845,89.88914792256833,Good
20429.560192651454,9764.514874647997,2042.9560192651454,4315.139030628249,3617.1430289923337,96.89668259711654,Good
35603.115832105825,26425.73267922242,3560.3115832105827,8748.05993647098,3102.066134358464,71.78272677300981,Good
40787.22458080425,20147.80800204543,8894.56549134325,12236.167374241275,3479.433821263726,90.27374471864913,Good
71142.44452437831,33955.44586898073,14801.419150056196,7114.244452437832,14228.488904875663,87.23950349219123,Good
56872.36579136923,41097.27202682983,8701.73220628671,7892.888455713428,5677.2052300284995,65.10259870173068,Moderate
14739.19689274532,5895.678757098129,4421.759067823596,4421.759067823596,2090.8023079263558,91.29819831248184,Good
56481.6793878959,22592.67175515836,16944.503816368768,16944.503816368768,8207.239987461762,88.44990119771404,Good
42298.35439167367,23084.798746959154,7565.0323943199355,4229.8354391673665,2114.9177195836833,76.88681213321797,Good
36461.55999388083,14584.623997552333,9838.661529900804,10938.46799816425,1823.0779996940416,96.3859761432494,Good
62233.52577681736,24893.410310726948,17042.85601289879,6223.352577681737,10665.511668190285,88.63238133869334,Good
70619.99044991902,48446.37760385133,20089.25817208241,17658.328156849075,4036.5134387021017,68.60083825071894,Moderate
68625.60238232397,50192.49627408042,10211.021213839367,14926.31164677877,8283.927081480802,79.62550883095606,Good
33215.64953554723,23859.78532006011,9964.694860664169,4695.064899567889,1660.7824767773616,63.423119340848785,Moderate
43815.75248297571,33576.734045823745,8522.699474896504,6409.206597847576,4394.389870200771,66.53529877490183,Moderate
56625.26862807128,44517.09581799628,13236.686921371516,8449.922889578544,7521.210782623467,70.80393266585521,Good
69510.90254244718,27804.361016978874,13913.5442077154,12766.914986942362,3475.545127122359,90.87371674798973,Good
40416.5152430942,26980.521422480702,7631.652783661861,12124.95457292826,4981.097550709593,72.89377943922086,Good
46286.82046672366,24095.010332357055,10288.28067368704,12305.27211680557,5857.802041515648,81.76261320752648,Good
27873.300519879434,13599.003218277303,2930.2965055329782,8361.99015596383,2561.225363970349,94.96648495604418,Good
26075.867518386585,17837.515166757883,2607.5867518386585,4543.2982059594715,1407.4051240188367,71.77957966175657,Good
66250.51644788396,26500.206579153586,12119.177950712417,14470.485100418484,6453.044041847528,88.14385314352887,Good
77124.80057141646,30849.920228566585,9992.735641061645,8813.238299800445,7518.832233590419,84.91257746280492,Good
48559.797568393325,33750.803170654945,11838.892935357231,8630.261971756236,9711.959513678665,82.59897407087684,Good
70070.65795784048,47169.31785314778,16445.808538493,10917.01088066086,7900.466975728063,75.68291069959855,Good
57232.72050095268,35513.469582098674,11508.263956162431,13683.836271600245,5273.411138700904,77.5905926368505,Good
37097.60490789751,17362.16096850123,11129.281472369254,5321.7125912440715,4178.279302463528,75.77890199024714,Good
57227.912110168276,40721.91980902162,11417.070657344024,7614.219800056416,8322.133953764189,84.43147739022442,Good
80760.73132931939,56697.70266082989,8076.073132931939,18712.91347396678,11565.632926499156,79.78688958101678,Good
49283.47921780097,30200.70302485945,8974.938536699692,9645.695657590022,7244.134585362179,79.17471065701518,Good
81292.87311628013,34419.55236600753,23873.881350791882,11702.700516298333,12696.54909218777,85.75462054435162,Good
10000.0,5362.12748140574,1000.0,1322.6846951030795,500.0,84.61387678889493,Good
66438.05008750448,48212.43542735774,12787.802800973594,9562.456317499506,10031.414761703541,67.04583708316522,Moderate
51740.94136476342,41345.08330468044,12730.184063973673,13720.102070644678,6780.566890489429,71.5922637917747,Good
44019.85299068265,24255.797802904166,13205.955897204794,10274.33279383849,3636.7121262600267,73.0780392154495,Good
51835.21553071005,29159.85150364603,15377.466708283519,7235.461582351432,6551.240603031011,73.75466008667767,Good
10248.621707982144,5900.6094494218,2158.4551532270966,1463.1827498239522,1162.231736391262,84.70447861739355,Good
45606.56224324976,29244.476114119727,11021.315494261044,4935.238236401526,5415.839124891505,79.67687203230234,Good
57142.25143023493,29304.82679445331,5714.225143023494,9630.717270649413,7454.825626370488,88.40045969823151,Good
79557.88089483032,31823.15235793213,9230.482367848665,16694.134562623432,3977.894044741516,81.28825024231087,Good
39634.59563452705,30871.994940568413,9990.948310943173,5140.000355903577,5381.822508570232,70.17872366579668,Good
33830.12794213625,27064.102353709,7202.210680345991,10149.038382640874,5379.831864236491,72.5059435113785,Good
39964.85912830927,20307.74435908476,8916.131893414307,9987.321997131214,5380.353282008591,89.47687733707076,Good
68308.04235404148,30055.674887247187,13848.032887471229,13485.780601383742,5225.21402926964,81.71879969386057,Good
56575.02219319369,32781.54355137743,11291.963027146143,11700.043290354271,3858.9470611881484,74.94512821141824,Good
39404.79592465922,22534.594713783532,8205.436080747833,3940.4795924659225,5159.347711473391,79.60930153292888,Good
60265.34866226712,45158.50032023374,6961.683446106225,6272.283659334613,10135.699782295014,80.79676223026055,Good
51941.55098696081,31590.6391937922,9437.044436884571,15582.465296088241,10311.371426790818,90.5168398572834,Good
69372.89981065778,33375.758256547655,6970.008286124489,20811.869943197333,11508.164927881036,98.21458300362573,Good
35958.93812245295,14464.072295570657,5409.38517259127,3595.893812245295,5419.085420064418,93.46084458481528,Good
43446.75706804464,31709.40396147506,12846.006966518293,10324.2847271383,2172.3378534022318,78.72829839780255,Good
42157.83693735685,29085.816734481334,7821.957272910829,12647.351081207054,3506.770285672844,79.23532223440837,Good
20729.701037357627,15735.584003173553,5134.066142577701,3579.2032821848643,2876.7497462965925,69.32652700390135,Moderate
55922.40554129152,25431.94350774536,11700.285013201057,16776.721662387456,4428.984152468753,82.78086776360873,Good
55221.105443597786,44176.88435487823,9343.88962296951,14434.12357276593,3544.7179716505775,78.66456596073967,Good
50102.269132849215,20040.907653139686,5977.927364372655,11827.783760063763,2818.604337472483,88.32787954291081,Good
45308.25733249706,32007.57225165738,7611.585510764757,8174.849145413418,9061.651466499412,73.56591095604854,Good
21692.585158991715,8677.034063596686,4656.406154896286,4498.365219140024,1084.6292579495857,87.89452788758466,Good
41587.09354469282,20022.118361515615,10247.57035302427,6828.886889202919,4460.739062327815,74.25674800224833,Good
43145.70966946461,34516.56773557169,9051.406801097824,9652.410309239129,3293.1115865352676,65.30731799854873,Moderate
33954.45461556762,24606.950746482104,8555.11092146489,7477.5964988037495,2314.7502124776083,73.1915697249244,Good
46774.285766679815,24232.210989169085,4677.428576667981,7729.777611196054,6767.5836875066625,89.98574672651536,Good
58081.01713629077,30328.42280551413,15643.134855929271,5808.1017136290775,9837.688420454768,77.45976339454906,Good
87723.7180242106,53958.27266621574,9626.756317580854,16176.337142186861,4386.18590121053,77.97357879424837,Good
53491.55625663678,36220.26401365009,14907.046655916984,6342.501286268989,6587.5278665656815,75.73958448244738,Good
55151.00781445529,43444.48433588485,13246.856650578236,6084.82274560837,6242.2412905736055,72.135362897258,Good
48511.081684676654,25786.78825107252,4851.108168467666,7024.411836325093,4505.184758149159,72.49364589258104,Good
11624.575694019171,4649.830277607669,3010.2655494771034,3093.887682166121,743.7162843229736,93.5507952190003,Good
49469.722491015666,30846.61265759408,13832.119638449696,5496.556190464698,9226.867379800346,73.96319535434152,Good
51204.604198820525,27209.377771849464,15361.381259646158,6605.753536695282,2967.8143208290157,71.62084056788832,Good
99264.84224970572,40192.82542084769,13749.385455926835,25465.591619895225,4963.242112485286,86.50272663926745,Good
46152.78070437755,29752.405648267726,9892.980880881007,6403.618237865142,8580.992034870993,70.70042894056874,Good
56030.94684667225,31827.42329382317,14319.041886878971,6153.542686421072,7395.899378911212,89.60232901923185,Good
49305.764605895136,31850.38156869206,12765.565656988316,13051.576809198545,2465.288230294757,69.30898095058745,Moderate
26626.43924760936,12403.48392506654,6197.6142244321945,5049.511382822697,3071.9700992950357,76.04093706373979,Good
72856.45629030041,49032.87444598354,12084.634872199653,14952.126105059511,6014.7352631145695,75.42915298407875,Good
65038.66065373548,26173.85099228219,18148.095216225684,11842.927227685112,13007.732130747097,80.09493711375322,Good
65820.63894086094,31320.112023331185,18397.237004805524,15393.12324592112,6944.588655455948,83.37247868199212,Good
31812.25090410522,17928.20327233419,5969.814966212607,8106.965207917876,4832.169386789612,92.23838424193693,Good
78055.88621872198,62444.708974977584,10718.29207331543,14843.19115903901,9258.782596659816,73.96993261551674,Good
